label,prediction,probability,confidence_score
0,0,0.012279329,0.98772067
0,0,0.097082555,0.90291744
0,0,0.21839856,0.7816014
0,0,0.102379814,0.8976202
0,0,0.022082496,0.9779175
0,0,0.02973504,0.970265
1,1,0.8658183,0.8658183
0,0,0.41800117,0.5819988
0,0,0.0055915713,0.9944084
0,0,0.040913094,0.9590869
0,0,0.031568866,0.9684311
0,0,0.35896197,0.64103806
0,0,0.15248656,0.84751344
0,0,0.020212635,0.97978735
0,0,0.18115209,0.8188479
0,0,0.008180807,0.9918192
0,0,0.063311055,0.93668896
0,0,0.009423444,0.99057657
0,0,0.007946263,0.99205375
0,1,0.51725566,0.51725566
0,0,0.016577678,0.98342234
0,0,0.12304434,0.8769556
0,0,0.019048681,0.9809513
0,0,0.0046604886,0.9953395
0,0,0.044784974,0.95521504
0,0,0.06956405,0.93043596
0,0,0.26993588,0.73006415
0,0,0.13952419,0.8604758
0,0,0.07889913,0.92110085
0,0,0.0069308393,0.9930692
0,0,0.05545875,0.9445413
0,0,0.017709006,0.982291
0,0,0.025338188,0.9746618
0,0,0.27389264,0.72610736
0,0,0.24347226,0.7565277
1,1,0.921938,0.921938
1,1,0.64876944,0.64876944
0,0,0.0148452,0.9851548
0,0,0.018882101,0.9811179
0,0,0.015684092,0.98431593
0,0,0.019560285,0.9804397
0,0,0.051032893,0.9489671
0,0,0.016736737,0.98326325
0,0,0.3535884,0.6464116
0,0,0.0135618625,0.98643816
0,0,0.009193346,0.99080664
0,0,0.13553508,0.86446494
0,0,0.109670475,0.89032954
0,0,0.03841736,0.96158266
1,1,0.5029331,0.5029331
0,0,0.38876444,0.61123556
1,1,0.6625927,0.6625927
0,0,0.037314314,0.9626857
0,0,0.0053639524,0.99463606
0,0,0.11383664,0.88616335
0,0,0.12336258,0.8766374
0,0,0.0077045914,0.9922954
0,0,0.007092384,0.99290764
0,0,0.011391007,0.988609
0,0,0.010834334,0.98916566
0,0,0.10857073,0.89142925
0,0,0.30200106,0.69799894
0,0,0.03307167,0.9669283
0,0,0.31031862,0.6896814
0,0,0.112348035,0.887652
0,0,0.11043265,0.8895674
0,0,0.020160347,0.9798397
0,0,0.11143936,0.88856065
0,0,0.020561717,0.9794383
0,0,0.11850274,0.88149726
0,0,0.013537032,0.98646295
0,0,0.026588282,0.97341174
0,0,0.050110787,0.9498892
0,0,0.118983105,0.8810169
0,0,0.12154461,0.8784554
0,0,0.010216922,0.98978305
0,0,0.04480069,0.9551993
0,0,0.021541215,0.97845876
0,0,0.019205874,0.98079413
0,0,0.3560479,0.64395213
0,0,0.10454475,0.89545524
0,0,0.030626357,0.96937364
1,1,0.7693739,0.7693739
1,1,0.864366,0.864366
1,0,0.44455186,0.5554482
0,0,0.03445236,0.9655476
1,1,0.50380087,0.50380087
0,0,0.008592189,0.9914078
0,0,0.03290631,0.9670937
0,0,0.011315028,0.98868495
0,0,0.030102147,0.96989787
0,0,0.08558187,0.9144181
0,0,0.0063141612,0.99368584
0,0,0.069582686,0.9304173
0,0,0.39578852,0.60421145
0,0,0.124383226,0.8756168
0,0,0.43471336,0.56528664
0,0,0.0062793815,0.9937206
0,0,0.065607436,0.9343926
0,0,0.09387896,0.906121
0,0,0.06758091,0.93241906
0,0,0.02633012,0.9736699
0,0,0.20321801,0.796782
0,0,0.042741157,0.9572588
0,0,0.026654806,0.9733452
